frequency,x,y,z
0,0,0,0
6.4,0.0091,0.008,0.0023
12.9,0.0091,0.008,0.0023
19.4,0.005,0.004,0.0035
25.9,0.0041,0.0036,0.0052
32.3,0.0064,0.0039,0.005
38.8,0.0095,0.0092,0.0047
45.3,0.011,0.013,0.0052
51.8,0.0137,0.0086,0.0068
58.2,0.0265,0.0119,0.014
64.7,0.0176,0.0075,0.0085
71.2,0.0127,0.0084,0.0029
77.7,0.0088,0.012,0.0028
84.1,0.0046,0.0063,0.0022
90.6,0.0041,0.0052,0.0027
97.1,0.0022,0.0043,0.0022
103.6,0.0021,0.0039,0.0032
110,0.0057,0.0067,0.0062
116.5,0.0244,0.0274,0.0168
123,0.0244,0.0278,0.017
129.5,0.0072,0.0077,0.0056
135.9,0.0025,0.0034,0.0032
142.4,0.003,0.0037,0.0028
148.9,0.0033,0.003,0.0024
155.4,0.0041,0.0039,0.0026
161.8,0.0039,0.0028,0.0021
168.3,0.0049,0.0025,0.0024
174.8,0.0104,0.0028,0.0026
181.3,0.0105,0.0032,0.0028
187.7,0.0058,0.0038,0.0037
194.2,0.0037,0.0035,0.0035
200.7,0.0052,0.0041,0.0044
207.2,0.0046,0.0049,0.0055
213.6,0.0031,0.0054,0.005
220.1,0.0025,0.0064,0.0045
226.6,0.0029,0.0089,0.0037
233.1,0.0059,0.0264,0.0047
239.5,0.0096,0.052,0.0051
246,0.0121,0.0443,0.0032
252.5,0.0148,0.0299,0.002
259,0.0165,0.0201,0.0025
265.4,0.021,0.0235,0.0037
271.9,0.024,0.0196,0.0038
278.4,0.0147,0.0148,0.0043
284.9,0.0121,0.0119,0.0044
291.3,0.0155,0.0085,0.0046
297.8,0.0155,0.0082,0.0039
304.3,0.0082,0.0078,0.0036
310.8,0.0079,0.0074,0.0041
317.2,0.0062,0.0089,0.0054
323.7,0.0042,0.0078,0.006
330.2,0.005,0.0063,0.0048
336.7,0.0062,0.0082,0.0053
343.1,0.0051,0.0057,0.0037
349.6,0.0028,0.0027,0.0015
356.1,0.0025,0.0025,0.0015
362.6,0.0026,0.0023,0.002
369,0.0037,0.003,0.0029
375.5,0.0049,0.0042,0.003
382,0.0056,0.0038,0.0033
388.5,0.0062,0.0037,0.004
394.9,0.007,0.0041,0.0049
401.4,0.0085,0.0049,0.0058
407.9,0.0084,0.0041,0.0053
414.3,0.0056,0.0024,0.0033
420.8,0.0045,0.0012,0.0019
427.3,0.0054,0.001,0.0024
433.8,0.0041,0.0008,0.0021
440.2,0.0022,0.0009,0.0015
446.7,0.0013,0.001,0.0017
453.2,0.0015,0.0011,0.002
459.7,0.0016,0.001,0.0026
466.1,0.0057,0.0019,0.0064
472.6,0.0069,0.0022,0.0078
479.1,0.003,0.0011,0.0043
485.6,0.0027,0.0008,0.0021
492,0.0028,0.0008,0.0016
498.5,0.0024,0.0007,0.0014
505,0.0019,0.0006,0.0013
511.5,0.0013,0.0006,0.0008
517.9,0.0012,0.0005,0.0007
524.4,0.0013,0.0005,0.001
530.9,0.0013,0.0006,0.0012
537.4,0.0011,0.0006,0.0011
543.8,0.0009,0.0006,0.001
550.3,0.0011,0.0006,0.0011
556.8,0.001,0.0005,0.0016
563.3,0.0019,0.0008,0.0026
569.7,0.0028,0.0008,0.0035
576.2,0.0023,0.0007,0.0026
582.7,0.0013,0.0005,0.0014
589.2,0.001,0.0005,0.0013
595.6,0.0009,0.0005,0.0023
602.1,0.0012,0.0006,0.0026
608.6,0.0013,0.0005,0.0023
615.1,0.001,0.0005,0.0022
621.5,0.0009,0.0006,0.0022
628,0.0008,0.0006,0.0024
634.5,0.001,0.0005,0.0031
641,0.0012,0.0005,0.0033
647.4,0.001,0.0005,0.0029
653.9,0.0007,0.0005,0.0019
660.4,0.0008,0.0004,0.002
666.9,0.0012,0.0005,0.0026
673.3,0.0011,0.0005,0.0024
679.8,0.0009,0.0004,0.0018
686.3,0.0012,0.0004,0.0018
692.8,0.0013,0.0004,0.0023
699.2,0.0013,0.0004,0.0021
705.7,0.0014,0.0005,0.002
712.2,0.0013,0.0004,0.0018
718.7,0.001,0.0004,0.0016
725.1,0.001,0.0004,0.0017
731.6,0.001,0.0004,0.0019
738.1,0.0009,0.0004,0.0028
744.6,0.0016,0.0005,0.0054
751,0.0022,0.0006,0.0072
757.5,0.0021,0.0007,0.0068
764,0.0016,0.0006,0.0052
770.5,0.0011,0.0005,0.0036
776.9,0.0008,0.0005,0.0026
783.4,0.001,0.0005,0.0028
789.9,0.0011,0.0004,0.0037
796.4,0.0008,0.0005,0.0034
802.8,0.0008,0.0007,0.0044
809.3,0.001,0.0007,0.0047
815.8,0.001,0.0007,0.0047
822.3,0.0011,0.0009,0.0054
828.7,0.0012,0.0008,0.0066
835.2,0.0011,0.0009,0.0067
841.7,0.0011,0.0008,0.0067
848.1,0.0012,0.0009,0.0073
854.6,0.0013,0.001,0.0082
861.1,0.0014,0.0009,0.0076
867.6,0.0015,0.0007,0.007
874,0.0015,0.0007,0.0065
880.5,0.0013,0.0007,0.0095
887,0.0012,0.0007,0.0095
893.5,0.0012,0.0008,0.0041
899.9,0.001,0.0008,0.0037
906.4,0.0006,0.0007,0.003
912.9,0.0006,0.0007,0.0028
919.4,0.0007,0.0007,0.0028
925.8,0.0008,0.0008,0.0032
932.3,0.0013,0.0017,0.0095
938.8,0.0045,0.0064,0.0355
945.3,0.0049,0.0071,0.039
951.7,0.0016,0.0021,0.0107
958.2,0.0009,0.0009,0.0051
964.7,0.001,0.0008,0.0051
971.2,0.0012,0.0006,0.0067
977.6,0.001,0.0006,0.0064
984.1,0.0009,0.0006,0.0054
990.6,0.0006,0.0006,0.0052
997.1,0.0005,0.0005,0.007
1003.5,0.0005,0.0005,0.0071
1010,0.0005,0.0006,0.0072
1016.5,0.0005,0.0006,0.0063
1023,0.0005,0.0008,0.0053
1029.4,0.0005,0.0008,0.0064
1035.9,0.0005,0.001,0.0079
1042.4,0.0005,0.0014,0.0083
1048.9,0.0007,0.0021,0.0118
1055.3,0.0018,0.0044,0.0312
1061.8,0.0016,0.004,0.0276
1068.3,0.0007,0.0017,0.0107
1074.8,0.0008,0.0011,0.0102
1081.2,0.0008,0.001,0.0104
1087.7,0.0007,0.0007,0.0101
1094.2,0.0008,0.0006,0.0149
1100.7,0.0007,0.0007,0.0138
1107.1,0.0006,0.0007,0.0115
1113.6,0.0007,0.0006,0.0166
1120.1,0.0008,0.0008,0.0225
1126.6,0.0006,0.0007,0.0178
1133,0.0007,0.0006,0.0198
1139.5,0.001,0.0008,0.0328
1146,0.001,0.0008,0.034
1152.5,0.0011,0.0009,0.039
1158.9,0.0012,0.001,0.0388
1165.4,0.0016,0.0011,0.0493
1171.9,0.0036,0.0015,0.0789
1178.4,0.0057,0.0017,0.1041
1184.8,0.0043,0.0023,0.1093
1191.3,0.0048,0.003,0.1311
1197.8,0.0037,0.0022,0.0942
1204.3,0.0027,0.0014,0.0631
1210.7,0.0029,0.0014,0.063
1217.2,0.0029,0.0015,0.0617
1223.7,0.0031,0.0015,0.0634
1230.2,0.0025,0.0013,0.0519
1236.6,0.0023,0.0011,0.0469
1243.1,0.002,0.0009,0.0391
1249.6,0.0014,0.0007,0.0259
1256,0.0014,0.0006,0.0234
1262.5,0.0013,0.0005,0.0161
1269,0.0015,0.0005,0.0178
1275.5,0.0016,0.0005,0.018
1281.9,0.0021,0.0005,0.0166
1288.4,0.0064,0.0005,0.0243
1294.9,0.0227,0.0011,0.0704
1301.4,0.0232,0.0011,0.0725
1307.8,0.0061,0.0006,0.0237
1314.3,0.002,0.0005,0.014
1320.8,0.0015,0.0005,0.0125
1327.3,0.0014,0.0005,0.0136
1333.7,0.0011,0.0005,0.0129
1340.2,0.0011,0.0005,0.0122
1346.7,0.0014,0.0006,0.015
1353.2,0.0022,0.0008,0.0276
1359.6,0.0022,0.0009,0.0303
1366.1,0.0015,0.0007,0.0185
1372.6,0.0016,0.0008,0.0192
1379.1,0.0012,0.0007,0.0158
1385.5,0.0009,0.0005,0.0111
1392,0.0007,0.0005,0.0097
1398.5,0.0006,0.0005,0.0072
1405,0.0007,0.0007,0.0084
1411.4,0.001,0.0014,0.0212
1417.9,0.0011,0.0012,0.0179
1424.4,0.0007,0.0005,0.0078
1430.9,0.0006,0.0006,0.0073
1437.3,0.0006,0.0006,0.0072
1443.8,0.0006,0.0006,0.0067
1450.3,0.0006,0.0006,0.0062
1456.8,0.0006,0.0005,0.0057
1463.2,0.0006,0.0005,0.0057
1469.7,0.0007,0.0004,0.0071
1476.2,0.0008,0.0004,0.007
1482.7,0.0009,0.0005,0.0053
1489.1,0.001,0.0005,0.0064
1495.6,0.0011,0.0006,0.008
1502.1,0.0011,0.0006,0.0086
1508.6,0.0012,0.0006,0.0092
1515,0.0011,0.0006,0.0077
1521.5,0.0008,0.0005,0.0063
1528,0.0008,0.0005,0.0075
1534.5,0.0014,0.0005,0.0152
1540.9,0.0018,0.0006,0.0159
1547.4,0.001,0.0006,0.0087
1553.9,0.0008,0.0006,0.008
1560.4,0.0007,0.0005,0.0069
1566.8,0.0007,0.0005,0.0068
1573.3,0.0008,0.0005,0.0069
1579.8,0.0007,0.0004,0.0075
1586.3,0.0006,0.0004,0.0068
1592.7,0.0006,0.0004,0.0064
1599.2,0.0005,0.0004,0.0049
1605.7,0.0005,0.0004,0.0039
1612.2,0.0005,0.0004,0.0044
1618.6,0.0005,0.0004,0.0046
1625.1,0.0005,0.0004,0.0039
1631.6,0.0005,0.0004,0.0044
1638.1,0.0005,0.0005,0.005
1644.5,0.0006,0.0004,0.0062
1651,0.0007,0.0004,0.0071
1657.5,0.0007,0.0004,0.0069
1663.9,0.0006,0.0003,0.0061
1670.4,0.0007,0.0003,0.0065
1676.9,0.0008,0.0004,0.007
1683.4,0.0008,0.0005,0.007
1689.8,0.0008,0.0004,0.0066
1696.3,0.0007,0.0004,0.0057
1702.8,0.0009,0.0004,0.0075
1709.3,0.001,0.0005,0.0064
1715.7,0.0009,0.0004,0.0055
1722.2,0.0007,0.0004,0.0046
1728.7,0.0007,0.0003,0.0049
1735.2,0.001,0.0004,0.0054
1741.6,0.0012,0.0004,0.0062
1748.1,0.0011,0.0004,0.0057
1754.6,0.001,0.0004,0.0049
1761.1,0.0012,0.0004,0.0041
1767.5,0.0014,0.0005,0.005
1774,0.0012,0.0004,0.0051
1780.5,0.0012,0.0004,0.0048
1787,0.0012,0.0005,0.0048
1793.4,0.0011,0.0004,0.0046
1799.9,0.001,0.0005,0.0052
1806.4,0.0012,0.0006,0.0058
1812.9,0.0014,0.0006,0.0066
1819.3,0.0014,0.0006,0.0068
1825.8,0.0014,0.0006,0.0075
1832.3,0.0013,0.0006,0.0076
1838.8,0.0012,0.0005,0.0078
1845.2,0.0011,0.0005,0.0067
1851.7,0.001,0.0006,0.0061
1858.2,0.0013,0.0006,0.0065
1864.7,0.0014,0.0006,0.0066
1871.1,0.0012,0.0005,0.0056
1877.6,0.0017,0.0008,0.0064
1884.1,0.0032,0.0013,0.0077
1890.6,0.0021,0.0009,0.0071
1897,0.0012,0.0005,0.0049
1903.5,0.001,0.0005,0.0045
1910,0.0009,0.0006,0.0049
1916.5,0.0009,0.0006,0.0049
1922.9,0.0009,0.0006,0.005
1929.4,0.0007,0.0005,0.0053
1935.9,0.0008,0.0005,0.0065
1942.4,0.0011,0.0004,0.0084
1948.8,0.001,0.0004,0.0093
1955.3,0.0009,0.0005,0.0097
1961.8,0.001,0.0005,0.0092
1968.3,0.001,0.0005,0.0096
1974.7,0.0011,0.0005,0.0101
1981.2,0.0011,0.0006,0.0104
1987.7,0.0013,0.0007,0.012
1994.2,0.0016,0.0007,0.0144
2000.6,0.0019,0.0009,0.0172
2007.1,0.0019,0.001,0.0177
2013.6,0.0019,0.0011,0.0202
2020.1,0.0018,0.001,0.018
2026.5,0.0018,0.001,0.0174
2033,0.0019,0.0011,0.017
2039.5,0.002,0.0012,0.0171
2046,0.0016,0.0012,0.0144
2052.4,0.0014,0.0011,0.0121
2058.9,0.0015,0.0011,0.0109
2065.4,0.0016,0.0011,0.0114
2071.8,0.0014,0.001,0.01
2078.3,0.0013,0.0009,0.0083
2084.8,0.0011,0.0009,0.0066
2091.3,0.001,0.0009,0.0062
2097.7,0.0008,0.0008,0.0051
2104.2,0.0008,0.0008,0.0055
2110.7,0.0008,0.0008,0.0065
2117.2,0.0008,0.0007,0.0059
2123.6,0.0009,0.0007,0.0046
2130.1,0.0009,0.0008,0.0062
2136.6,0.0008,0.0009,0.0064
2143.1,0.0008,0.0008,0.0057
2149.5,0.0007,0.0009,0.0056
2156,0.0007,0.0008,0.0059
2162.5,0.0007,0.0009,0.0059
2169,0.0007,0.0009,0.005
2175.4,0.0006,0.0008,0.0047
2181.9,0.0007,0.0009,0.0048
2188.4,0.0005,0.0008,0.0047
2194.9,0.0006,0.0007,0.0039
2201.3,0.0005,0.0008,0.0047
2207.8,0.0005,0.0009,0.0051
2214.3,0.0005,0.0009,0.0048
2220.8,0.0005,0.001,0.005
2227.2,0.0008,0.0009,0.0058
2233.7,0.0017,0.0009,0.0091
2240.2,0.0013,0.0008,0.0072
2246.7,0.0006,0.0009,0.0049
2253.1,0.0007,0.0008,0.0043
2259.6,0.0008,0.0009,0.0043
2266.1,0.0008,0.001,0.0051
2272.6,0.0007,0.0009,0.0047
2279,0.0007,0.0009,0.0046
2285.5,0.0006,0.001,0.0046
2292,0.0006,0.0009,0.0046
2298.5,0.0007,0.0008,0.004
2304.9,0.0006,0.0008,0.0042
2311.4,0.0007,0.001,0.0046
2317.9,0.0007,0.0011,0.0051
2324.4,0.0007,0.0011,0.0048
2330.8,0.0008,0.0011,0.0049
2337.3,0.0009,0.0012,0.0051
2343.8,0.0011,0.0012,0.0059
2350.3,0.005,0.0016,0.0233
2356.7,0.0077,0.002,0.0356
2363.2,0.0036,0.0014,0.0176
2369.7,0.001,0.0018,0.0065
2376.2,0.001,0.0018,0.0056
2382.6,0.0009,0.0015,0.0044
2389.1,0.0008,0.0015,0.0037
2395.6,0.0009,0.0016,0.0044
2402.1,0.0009,0.0014,0.0035
2408.5,0.001,0.0013,0.0029
2415,0.0013,0.0017,0.0036
2421.5,0.0014,0.0015,0.0034
2428,0.0014,0.0015,0.0031
2434.4,0.0015,0.0015,0.0033
2440.9,0.0018,0.0016,0.0033
2447.4,0.0019,0.0018,0.0035
2453.9,0.0018,0.0018,0.0038
2460.3,0.0016,0.0016,0.0036
2466.8,0.0019,0.0017,0.0062
2473.3,0.004,0.0021,0.0208
2479.7,0.0038,0.0021,0.0193
2486.2,0.0015,0.0018,0.0049
2492.7,0.0012,0.0017,0.0036
